,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Mohamed Salah,26,Liverpool,32," AM(CLR),FW  ",28,2485,17,2.3,30.1,73.7,0.5,0.8,0.2,7.89,25,1,0,3.6,0.3,10,1.8,1.2,0.4,1.9,3,0.6,0.1,0.6,0,0.2,0.2,0,0
1,Bukayo Saka,13,Arsenal,23," D(L),M(CLR)  ",16,1276,10,2.6,27.1,84.3,1.9,0.3,0.1,7.79,5,3,0,2.9,0.5,6,2.1,2,0.2,2.2,1.5,1.4,0.1,0.8,0,0.4,0.6,0,0
2,Alexander Isak,23,Newcastle,25," AM(L),FW  ",24,1984,5,1.5,20.2,75.5,0.1,0.5,0.1,7.47,19,1,0,2.8,0.8,5,1.4,0.5,0.7,1.8,2,0.5,0.1,0.8,0,0.5,0.3,0.1,0
3,Cole Palmer,15,Chelsea,22," AM(CR),FW  ",27,2375,6,2.6,36.2,82.3,1.1,2.6,0.3,7.43,14,4,0,3.6,0,4,1.3,2,0.2,1,1.8,0.7,0.3,0.4,0,0.4,0.4,0,0
4,Erling Haaland,167,Man City,24, FW  ,26,2304,3,1,11.8,65.3,0,0.1,0,7.42,20,2,0,3.7,1.7,6,0.4,0.5,0.2,0.9,1.5,0.3,0.2,0.8,0,0.8,0.2,0,0
5,Bryan Mbeumo,189,Brentford,25," AM(LR),FW  ",27,2427,4,1.9,29,75.6,1.1,0.8,0.2,7.38,15,2,0,2.1,1,4,1.3,1.1,0.4,1.3,2.6,1.1,0.4,0.6,0,1.3,0.3,0.1,0
6,Matheus Cunha,161,Wolves,25," AM(CL),FW  ",24(2),2148,4,1.7,29.4,77.7,0.8,1.5,0.2,7.36,13,3,0,3.3,0.4,8,1.9,2.2,0.3,1.6,2.6,1.2,0.6,1.4,0,0.7,0.9,0,0
7,Antoine Semenyo,183,Bournemouth,25," AM(LR),FW  ",26,2291,4,1.3,26.7,77,0.2,0.5,0.2,7.27,7,7,0,3.7,1.9,3,2.2,1.1,0.4,2.2,2.5,1.5,0.2,2,0,0.8,0.9,0.3,0
8,Jérémy Doku,167,Man City,22, M(LR)  ,11(7),983,4,1.2,24.6,85.1,0.4,0.1,0.1,7.22,3,0,0,1.2,0,2,3.7,1.2,0.3,1.9,2.1,1.2,0.2,0.2,0,0.1,0.2,0.1,0
9,Son Heung-Min,30,Tottenham,32," M(CLR),FW  ",21(3),1775,9,1.9,29.4,84.1,0.6,0.6,0.2,7.18,6,1,0,2,0.2,3,1.1,1,0.5,1,1,0.7,0.2,0.2,0,0.6,0.6,0,0
10,Mikkel Damsgaard,189,Brentford,24, AM(CL)  ,24(3),2054,10,1.8,36.3,77.7,1.1,1.5,0.4,7.17,2,2,0,1,0.4,2,1.5,0.7,0.2,1.3,1.6,2.2,0.8,0.4,0,0.9,1.3,0.1,0
11,Amad Diallo,32,Man Utd,22, M(CR)  ,17(5),1595,6,1.8,32.5,85.2,0.8,0.5,0,7.16,6,3,0,1.8,0.4,3,1.6,1,0.4,1.5,1.6,1.5,0.5,0.9,0,0.6,0.5,0,0
12,Jarrod Bowen,29,West Ham,28," AM(CLR),FW  ",23,2011,4,1.8,20.7,78.9,0.9,0.5,0.1,7.13,7,1,0,2.5,0.3,4,1.6,1.4,0.3,2.2,2.1,1.4,0.6,0.7,0,0.7,0.8,0.1,0
13,Bruno Fernandes,32,Man Utd,30," M(CLR),FW  ",26,2200,7,2.3,55.8,80.1,1.2,4,0.3,7.13,6,2,2,2.6,0.7,3,0.7,1.2,0.1,1,1.1,2.3,0.8,0.8,0,0.9,1.3,0.1,0
14,Eberechi Eze,162,Crystal Palace,26, AM(CLR)  ,21(2),1845,6,2.1,29.8,82.2,1,1.1,0.1,7.13,2,1,0,3.3,0.2,1,2,1.7,0.3,1.5,1.7,1.5,0.3,0.3,0,0.2,0.7,0,0
15,Daniel Muñoz,162,Crystal Palace,28," D(CR),DMC,M(R)  ",26,2257,4,1.2,31.2,74.1,0.5,0.8,0,7.13,3,7,0,1,1.8,1,0.6,0.6,0.4,0.5,1.5,3.5,1.1,1.5,0,2.3,1.1,0.1,0
16,Trent Alexander-Arnold,26,Liverpool,26," D(R),DMC,M(R)  ",25(2),2069,6,1.8,50.9,77.5,1.3,4.1,0.2,7.12,2,4,0,1.2,0.1,1,0.3,0.3,0,0.6,0.7,2.4,1,0.3,0.3,1.6,1.9,0.3,0
17,Antonee Robinson,170,Fulham,27," D(L),M(L)  ",26(1),2358,10,1.3,46.9,80.5,1.3,1.8,0,7.12,0,6,0,0.6,1.4,3,1,0.6,0.1,0.6,1.1,2.5,1.7,1,0.3,3,1.3,0.1,0
18,Luis Díaz,26,Liverpool,28," AM(LR),FW  ",21(6),1771,3,1.2,21.9,85.6,0.1,0.8,0,7.12,9,2,0,1.9,0.4,2,1.4,0.9,0.3,1.4,1.6,0.9,0.2,1.5,0,0.3,0.6,0,0
19,Virgil van Dijk,26,Liverpool,33, D(C)  ,28,2520,1,0.3,77.1,91.6,0,3.6,0,7.10,1,3,0,0.7,3.1,2,0.1,0.4,0,0.1,0.2,1.1,1.5,0.4,0.8,5,0.3,0.4,0
20,James Maddison,30,Tottenham,28, AM(CLR)  ,17(8),1478,5,1.3,38.1,86.2,0.8,1.3,0.2,7.10,9,5,0,1.4,0.2,2,1.1,2,0.1,0.8,0.8,1,0.4,1,0,0.6,0.6,0.1,0
21,Morgan Gibbs-White,174,Nottingham Forest,25," AM(CLR),FW  ",23,1857,5,1.6,35.3,81.5,0.3,1.5,0.2,7.09,5,5,1,1.7,1.3,3,1.1,1.3,0.2,1.2,2.3,1.3,0.6,1.2,0,0.7,0.3,0.1,0
22,Kai Havertz,13,Arsenal,25," M(CR),FW  ",21,1842,3,0.8,23.5,79.9,0.1,0,0,7.09,9,4,0,2.5,3,1,0.4,1,0.7,1,2,0.8,0.3,1.7,0,1.4,0.5,0.2,0
23,Chris Wood,174,Nottingham Forest,33, FW  ,26(1),2195,3,0.6,13.4,66.2,0,0.3,0,7.08,18,1,0,1.8,2.7,2,0.1,0.7,0.7,0.8,2,0.1,0.1,0.7,0,0.6,0.2,0.2,0
24,Dominic Solanke,30,Tottenham,27, FW  ,18,1601,3,0.7,15.3,71.4,0.1,0.5,0.1,7.07,7,0,0,2.6,1.8,1,0.8,1.6,0.2,1.9,2.4,0.8,0,1.5,0,1,0.3,0.2,1
