team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg
Manchester City,38,32,2,4,95,23,+72,98,95,18,44,1,25.7,89.0,14.3,7.09,6.3,13.7,9.5,8.6,2.6,6.8,11.5,7.9
Liverpool,38,30,7,1,89,22,+67,97,89,15.1,37,2,58.8,84.4,16,7.01,8.1,16.1,8.3,8.3,2,5.9,9.4,9.1
Chelsea,38,21,9,8,63,39,+24,72,63,16,49,0,20.3,87.6,14,6.89,9.2,16.3,9.3,8.9,2.2,5.2,11.8,11.2
Tottenham,38,23,2,13,67,39,+28,71,67,14.1,56,3,56.7,83.2,16.1,6.86,12.1,16.5,8.6,9.9,1.9,5,9.7,9.6
Arsenal,38,21,7,10,73,51,+22,70,73,12.3,72,2,27.0,83.3,14.9,6.79,13.1,16,10.8,10.8,2.3,4.5,8,12
Manchester United,38,19,9,10,65,54,+11,66,65,13.8,73,4,53.3,82.3,18.3,6.74,13.1,15.3,9.3,11.4,2.4,5.9,8.4,10.4
Wolves,38,16,9,13,47,46,+1,57,47,12.6,72,1,47.4,78.2,21.6,6.75,12.2,18.9,13.2,10.8,1.9,4,8.7,8.6
Everton,38,15,9,14,54,46,+8,54,54,13.1,55,4,51.0,77.3,23.5,6.77,10.6,18.4,11.9,11.4,1.8,4.4,8.7,11
Leicester,38,15,7,16,51,48,+3,52,51,13.6,57,5,50.8,79.2,21.5,6.78,11.2,17.8,11.5,9.2,1.9,4.8,10.3,9.9
West Ham,38,15,7,16,52,55,-3,52,52,11.6,59,1,49.0,78.7,16.9,6.77,13.9,19,12,8.7,1.9,4.1,10.2,10.2
Watford,38,14,8,16,52,59,-7,50,52,11.5,77,4,47.4,76.1,20.3,6.68,12.9,17.3,11.3,11.4,2.3,4,7.7,10.1
Crystal Palace,38,14,7,17,51,53,-2,49,51,13,58,2,46.6,76.8,18.1,6.78,13.8,19.3,11.7,10.2,2.1,3.9,9.9,10.3
Newcastle,38,12,9,17,42,48,-6,45,42,11.7,57,2,42.9,72.9,21.2,6.74,12.9,18.8,13.3,11.1,1.6,3.7,6.2,8.7
Bournemouth,38,13,6,19,56,70,-14,45,56,11.7,60,1,47.7,78.1,18.8,6.68,13.7,13.8,9.8,8.9,1.5,4.3,7.7,11.6
Burnley,38,11,7,20,45,68,-23,40,45,9.5,75,1,17.9,70.3,27.6,6.70,17.2,15.4,9.7,9.5,2.8,3.1,5.4,9.4
Southampton,38,9,12,17,45,65,-20,39,45,12.7,71,3,45.4,74.0,20.4,6.68,13.7,18.4,14.4,11.1,1.6,4.3,7.6,9
Brighton,38,9,9,20,35,60,-25,36,35,9.8,60,4,44.1,74.8,22,6.61,15.3,17.9,12.2,12.2,2.4,2.8,7.1,7.9
Cardiff,38,10,4,24,34,69,-35,34,34,11,66,1,39.1,63.9,25.8,6.62,15,17.2,13.9,9.8,2,3.3,6.8,10.3
Fulham,38,7,5,26,34,81,-47,26,34,11.9,68,2,49.2,80.3,19.7,6.56,15.4,15.7,11.3,11.1,2.4,3.8,9.3,9
Huddersfield,38,3,7,28,22,76,-54,16,22,10.6,55,4,47.1,75.8,22.6,6.47,13.7,18.6,14,11.1,1.7,3.1,6.1,9.7
